8e-10,"691839.70556137 + 0.18323739737908895*I"
6.354625877794257e-10,"691854.5823078995 + 0.20559565634002921*I"
5.047658755841554e-10,"691871.2739905996 + 0.23068200041892808*I"
4.009497869018172e-10,"691890.0019871619 + 0.2588292918725996*I"
3.1848573644279756e-10,"691911.0146672576 + 0.29041100232539563*I"
2.5298221281347035e-10,"691934.5906808364 + 0.3258461653983279*I"
2.0095091452076659e-10,"691961.0426463111 + 0.3656049326341431*I"
1.5962098519751063e-10,"691990.7212870707 + 0.41021480591234105*I"
1.2679145539688886e-10,"692024.0200705884 + 0.4602676283061373*I"
1.0071403294353329e-10,"692061.3804109022 + 0.5164274250886426*I"
8e-11,"692103.2975025134 + 0.5794391974402787*I"
6.354625877794257e-11,"692150.3268618796 + 0.6501387834349144*I"
5.047658755841554e-11,"692203.0916617453 + 0.7294639141736543*I"
4.009497869018172e-11,"692262.2909536753 + 0.8184666075639531*I"
3.1848573644279756e-11,"692328.7088854347 + 0.9183270582532297*I"
2.5298221281347035e-11,"692403.2250324358 + 1.0303691996231108*I"
2.009509145207666e-11,"692486.8259764494 + 1.1560781324665133*I"
1.5962098519751062e-11,"692580.618280339 + 1.297119634833628*I"
1.2679145539688888e-11,"692685.843024844 + 1.4553619882136493*I"
1.0071403294353329e-11,"692803.8920925881 + 1.6329003761502108*I"
8e-12,"692936.3264057048 + 1.832084131656403*I"
6.354625877794257e-12,"693084.8963469071 + 2.055547127980331*I"
5.047658755841554e-12,"693251.5646196981 + 2.306241621220993*I"
4.009497869018172e-12,"693438.5318318822 + 2.5874758597906053*I"
3.1848573644279754e-12,"693648.2651177841 + 2.9029557700132673*I"
2.5298221281347034e-12,"693883.5301487827 + 3.2568310022764173*I"
2.0095091452076656e-12,"694147.4269190561 + 3.6537455679454*I"
1.5962098519751062e-12,"694443.4297339357 + 4.098893198916206*I"
1.2679145539688887e-12,"694775.4318720241 + 4.598077397689871*I"
1.007140329435333e-12,"695147.7954392475 + 5.157775884857656*I"
8e-13,"695565.4069831693 + 5.7852087471159885*I"
6.354625877794258e-13,"696033.7394889316 + 6.48840897524304*I"
5.047658755841554e-13,"696558.9214337191 + 7.276293158732226*I"
4.0094978690181715e-13,"697147.8136339633 + 8.15872872431099*I"
3.1848573644279755e-13,"697808.0946777115 + 9.146592046780677*I"
2.5298221281347037e-13,"698548.3557922927 + 10.251808681871822*I"
2.0095091452076658e-13,"699378.2060528339 + 11.487362340748337*I"
1.5962098519750997e-13,"700308.3888878262 + 12.867252195063958*I"
1.2679145539688888e-13,"701350.9108806197 + 14.406367270284283*I"
1.0071403294353329e-13,"702519.1838961986 + 16.120229656412874*I"
8e-14,"703828.1815754663 + 18.024530734270424*I"
6.354625877794257e-14,"705294.6112275999 + 20.134338376124226*I"
5.0476587558415335e-14,"706937.1021060686 + 22.46277128320459*I"
4.0094978690181716e-14,"708776.4109646047 + 25.018781275376607*I"
3.1848573644279756e-14,"710835.6456420583 + 27.803358774848643*I"
2.5298221281347035e-14,"713140.5072027292 + 30.802691700100624*I"
2.0095091452076657e-14,"715719.5508408524 + 33.97446952229197*I"
1.5962098519750997e-14,"718604.4653197394 + 37.2134419637675*I"
1.2679145539688888e-14,"721830.4319112599 + 40.175701190813434*I"
1.007140329435333e-14,"725437.1529585095 + 42.63470214332937*I"
8e-15,"729467.9793365486 + 45.276747928697716*I"
6.354625877794257e-15,"733969.7585821026 + 48.42698485414244*I"
5.047658755841534e-15,"738995.0127299675 + 51.38729315115056*I"
4.009497869018172e-15,"744601.5145990293 + 54.46838567832297*I"
3.1848573644279756e-15,"750851.6313314848 + 57.107581567151854*I"
2.5298221281347035e-15,"757815.7202339809 + 59.228923589934006*I"
2.0095091452076656e-15,"765568.6064278695 + 62.22893802759823*I"
1.5962098519750998e-15,"774189.1584458513 + 65.40031696943117*I"
1.2679145539688887e-15,"783765.5723352797 + 66.5441135249983*I"
1.007140329435333e-15,"794392.2476394891 + 63.38581949083647*I"
8e-16,"806173.6248166481 + 49.092841901405976*I"
6.354625877794231e-16,"819229.2519038041 + 24.801135146178908*I"
5.047658755841554e-16,"833679.850425049 + 5.960786558901575*I"
4.0094978690181715e-16,"849629.8289022425"
3.1848573644279884e-16,"867193.5559106502"
2.5298221281347036e-16,"886501.6553011966"
2.0095091452076574e-16,"907683.4831791491"
1.5962098519751062e-16,"930866.4950947927"
1.2679145539688888e-16,"956174.1571657265"
1.0071403294353288e-16,"983722.7830017831"
8e-17,"1.0136177037863992*^6"
6.354625877794232e-17,"1.0459488609153155*^6"
5.0476587558415545e-17,"1.0807859050537113*^6"
4.009497869018172e-17,"1.1181729245002894*^6"
3.184857364427962e-17,"1.1581229771071759*^6"
2.5298221281347036e-17,"1.2006126527868586*^6"
2.0095091452076574e-17,"1.2455769404692848*^6"
1.5962098519751062e-17,"1.2929047085962547*^6"
1.2679145539688887e-17,"1.3424351283275816*^6"
1.0071403294353289e-17,"1.3939553721837602*^6"
8e-18,"1.447199907427169*^6"
6.354625877794231e-18,"1.5018516716969176*^6"
5.0476587558415545e-18,"1.5575453645556136*^6"
4.009497869018172e-18,"1.6138730072667934*^6"
3.1848573644279624e-18,"1.6703918101275302*^6"
2.5298221281347033e-18,"1.726634243124102*^6"
2.0095091452076573e-18,"1.782120040633203*^6"
1.5962098519751064e-18,"1.836369700856122*^6"
1.2679145539688887e-18,"1.8889188855944867*^6"
1.0071403294353288e-18,"1.9393330038771308*^6"
8e-19,"1.9872211862695965*^6"
6.354625877794232e-19,"2.032248832483941*^6"
5.0476587558415545e-19,"2.0741479482300514*^6"
4.009497869018172e-19,"2.11272458419512*^6"
3.1848573644279624e-19,"2.14786285602073*^6"
2.5298221281347034e-19,"2.179525256871321*^6"
2.0095091452076574e-19,"2.207749256249105*^6"
1.5962098519751062e-19,"2.232640477041512*^6"
1.2679145539688886e-19,"2.2543630173399313*^6"
1.0071403294353288e-19,"2.273127699505645*^6"
8e-20,"2.289179163822025*^6"
6.354625877794231e-20,"2.302782766852291*^6"
5.047658755841554e-20,"2.3142121918288525*^6"
4.0094978690181715e-20,"2.323738533968788*^6"
3.184857364427962e-20,"2.331621403574748*^6"
2.5298221281347034e-20,"2.338102325705028*^6"
2.0095091452076575e-20,"2.3434004502053545*^6"
1.5962098519751062e-20,"2.347710363047512*^6"
1.2679145539688886e-20,"2.351201639116774*^6"
1.0071403294353288e-20,"2.3540197072743867*^6"
8e-21,"2.3562876006809883*^6"
