time,10uW,20uW,40uW,100uW
104,0.99662,0.99431,0.9899,0.98261
129,0.99581,0.99296,0.98753,0.97856
154,0.995,0.99161,0.98516,0.97453
179,0.99419,0.99027,0.98281,0.97055
204,0.99339,0.98894,0.98047,0.96659
229,0.99258,0.9876,0.97814,0.96266
254,0.99178,0.98627,0.97581,0.95877
279,0.99097,0.98495,0.9735,0.9549
304,0.99017,0.98362,0.9712,0.95107
329,0.98937,0.9823,0.96891,0.94727
354,0.98857,0.98098,0.96663,0.94349
379,0.98777,0.97967,0.96437,0.93975
404,0.98698,0.97836,0.96211,0.93603
429,0.98618,0.97705,0.95986,0.93234
454,0.98539,0.97575,0.95762,0.92868
479,0.98459,0.97445,0.95539,0.92505
504,0.9838,0.97315,0.95317,0.92145
554,0.98222,0.97056,0.94876,0.91432
604,0.98064,0.96799,0.94439,0.9073
654,0.97907,0.96543,0.94006,0.90039
704,0.9775,0.96288,0.93577,0.89357
754,0.97594,0.96035,0.93151,0.88686
804,0.97438,0.95782,0.92729,0.88025
854,0.97282,0.95531,0.92311,0.87373
904,0.97127,0.95281,0.91897,0.8673
954,0.96972,0.95033,0.91486,0.86096
1004,0.96818,0.94785,0.91078,0.85472
1254,0.96053,0.93566,0.89091,0.82477
1504,0.95299,0.92375,0.87186,0.7968
1754,0.94556,0.91212,0.85357,0.77061
2004,0.93822,0.90075,0.836,0.74605
2254,0.93098,0.88965,0.8191,0.72296
2504,0.92384,0.8788,0.80285,0.70121
2754,0.9168,0.86818,0.7872,0.6807
3004,0.90985,0.8578,0.77212,0.66132
3254,0.90299,0.84765,0.75757,0.64298
3504,0.89622,0.83772,0.74355,0.6256
3754,0.88954,0.828,0.73,0.6091
4004,0.88295,0.81848,0.71692,0.59342
4254,0.87644,0.80916,0.70427,0.5785
4504,0.87001,0.80004,0.69204,0.56428
4754,0.86367,0.7911,0.6802,0.55073
5004,0.8574,0.78234,0.66874,0.53778
5254,0.85122,0.77376,0.65764,0.52541
5504,0.84511,0.76535,0.64689,0.51357
5754,0.83908,0.75711,0.63645,0.50223
6004,0.83312,0.74902,0.62634,0.49136
6504,0.82142,0.73332,0.60698,0.47092
7004,0.81,0.7182,0.58872,0.45204
7504,0.79885,0.70364,0.57146,0.43456
8004,0.78797,0.6896,0.55512,0.41831
9004,0.76695,0.66301,0.52494,0.38906
10004,0.74687,0.6382,0.49768,0.36346
12004,0.70931,0.5933,0.45036,0.32075
14004,0.67485,0.55375,0.41071,0.28656
16004,0.64313,0.51865,0.37701,0.25858
18004,0.61384,0.48728,0.34802,0.23526
20004,0.58671,0.45909,0.32282,0.21552
22004,0.56151,0.43363,0.30071,0.1986
24004,0.53805,0.41051,0.28115,0.18395
30004,0.47648,0.3524,0.23408,0.14976
35004,0.43339,0.3138,0.20436,0.12894
40004,0.39617,0.28175,0.18055,0.11267
45004,0.36373,0.25473,0.16105,0.09961
50004,0.33522,0.23165,0.14481,0.08891
60004,0.2875,0.19437,0.11933,0.07244
70004,0.24922,0.16561,0.10029,0.06037
80004,0.21792,0.14281,0.08557,0.05117
90004,0.19192,0.12435,0.07386,0.04394
100004,0.17003,0.10912,0.06437,0.03814
120004,0.1354,0.08562,0.04996,0.02942
140004,0.10945,0.06845,0.03964,0.02323
160004,0.08949,0.0555,0.03195,0.01867
180004,0.07382,0.04549,0.02607,0.01519
200004,0.06132,0.03759,0.02147,0.01249
250004,0.03944,0.02396,0.0136,0.00788
300004,0.02592,0.01566,0.00886,0.00512